FID,gid,geom,desc,status,cve_serv,servicio,desc_serv,categoria
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-46bf,1,POINT (-103.3427204937 20.6558634843),Jxkdkdjj,pending,65,Cableado,Problemas con el cableado público,alumbrado
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-46be,3,POINT (-103.3569486067 20.6853816603),Hay varios aparta lugares en la zona,progress,93,Cuidadores de vehículos (Viene Viene),Ayúdanos a identificar a las personas que nos extorsionan en nuestro momento de estacionamiento,
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-46bd,4,POINT (-103.3708736301 20.6847860145),Hay un árbol recargado en la barda de mi casa,pending,65,Cableado,Problemas con el cableado público,alumbrado
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-46bc,5,POINT (-103.3454285 20.6607621),Hay gente que aparta lugares,progress,65,Cableado,Problemas con el cableado público,alumbrado
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-46bb,6,POINT (-103.3527918532 20.6629264854),Rota Rota Rota,open,62,Una lámpara,"Problemas con UNA lámpara apagada, prendida, quebrada, volteada, etc.",alumbrado
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-46ba,7,POINT (-103.3493333333 20.6565183333),se ha caido una farola y hay peligro,closed,62,Una lámpara,"Problemas con UNA lámpara apagada, prendida, quebrada, volteada, etc.",alumbrado
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-46b9,8,POINT (-103.3525068 20.6646917),Hay una farola caida,pending,62,Una lámpara,"Problemas con UNA lámpara apagada, prendida, quebrada, volteada, etc.",alumbrado
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-46b8,9,POINT (-103.3513226733 20.6589887632),Hay una farola caida por el viento,closed,62,Una lámpara,"Problemas con UNA lámpara apagada, prendida, quebrada, volteada, etc.",alumbrado
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-46b7,10,POINT (-103.3489512652 20.6620107671),Prueba luminaria,open,62,Una lámpara,"Problemas con UNA lámpara apagada, prendida, quebrada, volteada, etc.",alumbrado
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-46b6,11,POINT (-103.3690712875 20.6752467831),No ha pasado el camioooooon de basura,closed,63,Recolección de basura domiciliaria,Irregularidades con la recolección de basura domiciliada ya sea con el camión o con el personal del mismo,aseo
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-46b5,12,POINT (-103.3688311279 20.6834617214),Mi calle esta en muy mal estado,pending,65,Cableado,Problemas con el cableado público,alumbrado
